GATS2m,ETA_Epsilon_5,MLFER_BH,CIC2,GATS5p,AATSC4s,MATS5p,VE1_Dzs,MATS2p,AATSC1m,bpol,AATSC2p,MIC1,MATS3e,CIC0,ATSC6m,ATSC2m,MDEC-13,GATS1i,ETA_EtaP_F,SM1_Dzs,ATSC4s,SpMax4_Bhv,AMR,AVP-3,nBr,GATS4c,SM1_DzZ,SpAbs_DzZ,AVP-0,ATS1s,ETA_EtaP_L,AATSC4p,SpMax4_Bhm,CIC3,minHBint4,MATS2e,SpMin5_Bhs,SpMin6_Bhs,hmin,MLFER_E,GATS3s,MATS4c,VR1_Dzv,MATS4i,MATS6i,nHeteroRing,AATSC4m,SpMin3_Bhe,ATSC4m,AATSC0m,VR1_Dzs,ETA_Eta_F_L,ATSC6i,SpMax1_Bhm,MATS6c,MATS2v,MATS2c,AATSC2v,ATSC0e,SpMax8_Bhs,GATS3e,nBondsD,ATS0p,MATS4m,ETA_Eta_F,MATS4s,GATS5v,ATSC7s,GATS2i,ATSC1m,MATS2i,GATS1v,ATSC7e,MATS2m,SwHBa,AATS2m,SpMin7_Bhe,AATSC3m,minaasC,maxssCH2,GATS3m,MATS2s,VE3_Dze,ALogP,SpMin6_Bhe,ATSC3s,MATS5c,ETA_dPsi_A,ATSC6v,ATSC0p,GATS1e,MATS3c,ATSC4v,GATS4s,VE3_Dzm,ATSC5c,MATS4e,BCUTw-1l,GATS5i,AATSC5v,ATSC4i,SpMin8_Bhs,MATS1e,ATSC7v
0.879809758,0.82428,0.085,1.773615909,0.0,0.032752469,0.0,4.44e-16,-0.455238957,76.68800697,20.199242,-0.883178364,30.28231802,-0.507016313,1.773615909,0.0,226.8848962,0.0,1.663316803,0.05657,-6.652889435,0.294772217,1.090855893,24.0958,0.0,0,0.0,1.865546218,4.303491847,1.153557368,14.00327694,0.4628,0.809351312,2.333552793,2.088109693,0.0,0.47456712,0.5,0.5,-0.111796982,0.086,0.871455682,0.101369127,4000000.0,0.397878109,0.0,0,115.0100255,0.048878147,1035.09023,189.3353086,4000000.0,-0.31399,0.0,4.548660087,0.0,-0.25138782,0.517525867,-28.98266663,1.574344182,0.5,1.675929591,0,48.33117743,0.607440981,0.28283,0.152042917,0.0,0.0,1.779025528,766.8800697,-0.437780824,1.004723108,0.0,0.066573512,0.0,182.2267158,0.943918427,-170.5666329,0.0,0.0,1.99547273,0.616716098,-17.93038547,2.2334,0.943918427,-1.247031199,0.0,0.0,0.0,21.34035732,1.415434456,-0.394990225,699.4625841,0.0,-18.59930174,0.0,0.151543621,11.999,0.0,0.0,9.640474576,0.672839506,-0.627980713,0.0
0.636205371,0.89167,0.419,1.7509775,0.0,0.751111111,0.0,3.33e-16,-0.155802829,-4.275245444,7.517242,-0.031917136,15.31797619,-0.71822664,2.026466251,0.0,124.500355,2.0,1.666633262,0.35292,0.707936508,6.76,0.270913902,16.1948,0.0,0,0.0,0.25,7.301633913,0.727062073,30.33333333,0.23386,0.098899431,0.083923071,2.08317031,0.0,0.097099955,0.529411765,0.529411765,0.375,0.179,2.691271552,0.085481738,3000000.0,0.425147427,0.0,0,23.04,0.047747506,207.36,35.7528108,3000000.0,0.79659,0.0,3.417437809,0.0,0.039625999,0.196069837,1.845114508,0.9667344,0.336619273,2.680167376,1,11.67758143,0.644424857,1.41169,0.242816092,0.0,0.0,1.144891501,-38.477209,-0.209303312,1.487453885,0.0,0.232150242,0.166666667,40.48873407,0.943918427,-39.3456,0.0,0.0,2.176167929,0.149425287,0.0,-0.244,0.943918427,-27.38666667,0.0,0.20027,0.0,2.048559472,0.50001324,-0.423073964,263.877478,0.0,-14.05094506,0.0,0.240249649,11.89,0.0,0.0,4.403478133,2.546278942,-2.94e-06,0.0
1.299983183,0.75238,0.385,1.236925695,0.772863512,-0.043209877,-0.064771941,0.066589932,-0.25973895,-3.889179558,13.118484,-0.051604637,15.10631013,-0.003089727,3.034955027,-36.19050919,-247.6862595,0.0,1.661705788,0.12049,0.666666667,-1.296296296,1.774868815,21.9103,0.253889091,0,0.844727072,0.25,23.14377758,0.712606787,42.75,0.42933,-0.008310556,1.789381624,0.972765278,0.0,-0.087807364,0.115587506,0.34430285,0.227777778,0.205,0.701877506,0.006466744,20.77196882,-0.049682669,0.270678953,0,0.285767279,0.670739408,8.57301837,30.98840195,17.55110964,0.33826,3.567090448,3.422805853,-0.147771161,-0.278928847,-0.082364607,-12.63896793,1.059967111,0.625,0.701606094,0,19.92305886,0.009221749,0.72292,-0.033175355,0.770248377,0.592592593,1.442082416,-66.11605249,-0.248944948,1.590373361,0.031076148,-0.257834507,0.0,28.45968929,0.943918427,0.231148722,0.0,1.195,0.844100919,-0.080874484,-1.995466525,-1.2614,0.301834162,-0.601851852,0.038119269,0.14382,64.02897524,3.576219349,1.043987109,0.030584757,-22.12162343,0.90035545,-1.993662227,0.010038884,-0.016980317,11.89,0.785491089,-1.09897767,-1.636833706,0.625,-0.095038736,65.57650547
1.271192281,0.86191,0.596,1.266541407,0.9244927,0.036458333,-0.141883586,0.033066263,-0.22743177,-2.245980843,12.84807,-0.041444094,17.15381877,0.029272699,2.701205059,-2.222132313,-215.2510193,0.0,2.002752272,0.2702,1.202380952,0.65625,1.760087988,23.5986,0.146582935,0,0.687396308,0.5,20.14669275,0.662797038,45.75,0.34173,-0.047949716,1.751525893,0.797180469,0.0,-0.247139591,0.331267616,0.615384615,0.277777778,0.248,0.924195223,-0.114930775,17.95316515,-0.258835067,0.222052437,0,-4.349538679,0.432605258,-78.29169622,36.97060598,31.91728724,0.86384,2.739114759,3.366706029,-0.021848216,-0.220052818,-0.205935111,-9.412098407,1.881327,0.615384615,1.183190848,0,16.88813705,-0.117648563,1.62122,0.021806854,0.895261694,1.171875,1.251349616,-33.68971264,-0.23098454,1.616814285,0.087979687,-0.223931557,0.0,36.33405015,0.943918427,-1.392488841,0.0,0.695,1.022978891,-0.177570093,0.0,-0.2385,0.943918427,1.921875,0.008478482,0.24918,79.7844705,2.915623878,1.013826942,0.164057986,-177.2458849,0.475077882,-22.04208034,0.003796951,0.016507084,11.89,0.920675882,-2.950292107,-4.789267085,0.615384615,-0.097211135,71.82229275
0.813465445,0.92222,2.709,2.111111111,0.871354756,0.55739245,-0.000757,8.88e-16,-0.104309728,-2.785447502,25.283312,-0.019120715,26.63175757,-0.082899942,3.422757804,237.4047565,80.38226072,0.0,1.992606298,0.90081,6.466984127,52.39489026,3.131133261,62.3456,0.103234492,0,0.630686237,2.285714286,158.4166751,0.527945771,158.9166667,0.2273,-0.030664513,3.326959696,2.111111111,0.0,0.140362213,0.988797414,0.383619275,0.167270408,0.836,1.047583037,-0.003379826,117.5443191,-0.242829604,0.220709511,0,13.16962277,1.19201912,1237.94454,42.40638943,104.242347,4.6552,21.46155114,3.660866342,0.583731577,-0.055833403,0.023239299,-2.291119358,6.475342222,4.199194809,0.925305395,4,42.56843848,0.310557511,18.01627,0.114580736,0.953439758,-35.54938272,1.425648679,-97.49066257,-0.118536923,1.17101114,-0.902652444,0.032681421,-4.910114219,82.85233738,0.374051911,-16.53412008,0.0,0.0,1.27912316,0.285441592,-73.47360114,-1.7168,0.551128723,-75.94195816,-0.347309494,0.30983,-212.5834216,6.599055965,0.972605275,0.15747369,418.9362089,0.446721891,-74.8598955,-1.325189104,0.142363965,11.99624935,0.942760577,-1.65022512,-27.74466962,0.146944641,-0.229142421,572.9101309
0.798032065,0.95556,0.424,0.822126786,0.95953567,-0.5625,-0.190483489,0.189552686,-0.182393859,-0.76077016,11.619656,-0.035851061,22.21850358,-0.506358078,2.428571429,251.4082057,144.5633905,1.154700538,1.9272959,0.4047,1.171031746,-6.75,1.791282882,21.7066,0.1158669,0,0.91549754,0.5,16.84647719,0.67060056,44.08333333,0.27204,-0.102916337,1.871608884,0.964983929,0.0,0.223825329,0.558139535,0.558139535,0.368055556,0.08,1.633201893,0.033479063,21.44338249,-0.471865213,0.395310084,0,-21.34718478,0.39475822,-256.1662173,38.76034049,26.35876116,1.13783,3.982896608,3.464303476,0.046445752,-0.041046479,0.240847676,-1.846007332,1.814294857,0.558139535,1.974491569,1,15.99891124,-0.550748123,2.42819,-0.223580442,1.101936842,0.0,1.138871163,-9.890012082,-0.205593505,1.512288748,0.0,0.169530585,-0.210648148,50.58851023,0.943918427,-11.68161399,0.0,0.481481481,1.365897701,0.237381703,-1.18810791,0.2715,0.943918427,-18.61111111,-0.041502374,0.24918,281.4261267,2.75181886,0.73392701,-0.187441013,-338.7484469,1.554514984,-1.18810502,-0.01130363,-0.19816782,11.89,0.906951555,-12.50782785,-6.338957466,0.558139535,-0.023515521,0.0
1.327083333,0.7,0.085,1.964983929,0.0,-0.025510204,0.4,0.0,-0.241666667,-4.751413226,10.93207,-0.049636572,9.974663524,-0.040740741,2.944234353,0.0,-143.3026229,0.0,1.75,0.0,-0.083333333,-0.459183673,1.377906302,17.6206,0.5,0,0.817394078,1.78e-15,10.32455532,0.853553391,26.25,0.47855,-0.013692847,1.26132855,1.964983929,0.0,-0.241666667,0.571428571,0.571428571,0.2,0.04,0.712962963,-0.066784591,8.45234659,-0.066666667,0.0,0,-1.647156585,0.38035721,-29.64881853,24.70734878,7.312569945,0.0,0.0,3.328621977,0.0,-0.241666667,-0.241578223,-11.10322277,0.06776,0.571428571,0.842592593,0,15.60172905,-0.066666667,0.0,-0.192307692,0.0,0.0,1.327083333,-61.76837194,-0.241666667,1.75,0.0,-0.241666667,0.0,19.42316608,0.943918427,-1.006595691,0.0,1.319444444,0.842592593,-0.147435897,0.0,-0.4734,0.943918427,0.31122449,0.356512398,0.0,0.0,2.875497957,1.75,-0.008202871,-55.13324411,1.166666667,0.0,0.004726831,-0.066666667,11.89,0.0,18.37774804,-1.33883576,0.571428571,-0.192307692,0.0
1.218021973,0.82222,0.385,0.79248125,0.0,0.0,0.0,0.5411961,-0.016224363,-12.35502782,4.372828,-0.002186794,12.99907825,0.272277038,1.333333333,0.0,-111.1229059,0.0,2.401921607,0.22784,0.666666667,0.0,0.270913902,8.2613,0.0,0,0.0,0.25,1.520690633,0.723606798,24.0,0.27216,0.0,0.083923071,1.654135417,0.0,-0.368751139,2.143230483,3.822102613,0.45,0.205,0.0,0.0,1.421348848,0.0,0.0,0,0.0,0.943918427,0.0,38.86356956,1.681792831,0.45567,0.0,2.895253422,0.0,-0.232335169,-0.192526156,-8.188184299,0.905117333,0.0,0.0,0,5.210555619,0.0,0.45567,0.0,0.0,0.0,0.427198852,-61.77513911,0.030839633,1.875735535,0.0,-0.408472537,0.0,9.076608,0.0,18.76911211,0.0,0.0,0.0,-0.385714286,-0.431300235,-0.358,3.124589437,3.0,0.0,0.32968,0.0,0.808707478,1.117786571,0.309999488,0.0,0.0,-0.430492162,0.0,0.0,11.99697344,0.0,0.0,0.0,0.0,-0.247114628,0.0
0.510397495,1.09881,0.399,0.594360938,0.0,2.062122682,0.0,0.303294176,0.457642064,-21.16759365,3.311207,0.177954093,39.92995955,0.472982399,1.094360938,0.0,555.5666976,0.0,1.460738394,0.44883,1.255797655,6.186368045,1.090855893,28.1583,0.121250325,0,0.763609298,2.441176471,13.09015039,0.751020306,34.7962963,0.25814,-0.563337653,2.951461161,0.969360938,0.0,-0.054505304,0.922751323,2.935495823,0.155714163,0.461,2.107378928,-0.382449518,20.56323004,0.178026769,0.0,0,-291.7524954,0.353114799,-875.2574863,154.3801809,31.07456895,1.13636,0.0,4.256851602,0.0,0.185038447,-0.196544524,5.752027148,1.415116875,1.306158215,0.415453406,1,21.5660209,-1.889831283,3.14178,0.403441691,0.0,0.0,1.303921402,-148.1731556,-0.45077338,0.327388035,0.0,0.359869184,-0.538837449,569.9880417,2.702457279,-18.70709744,0.0,0.0,0.926634462,0.278413021,-3.130453813,1.4484,1.943069096,-34.53026406,0.0,0.26561,0.0,3.110799589,1.544428972,0.422577673,-167.319617,0.010227992,-1.186802857,0.0,-0.889999192,11.99870711,0.0,0.0,0.453905181,5.504166522,-0.65268694,0.0
0.545867903,0.86191,0.43,0.562907292,0.0,-2.484567901,0.603473392,0.152992892,0.041776049,-4.362329942,7.517242,0.008819663,25.13590694,-0.109366123,2.125814584,0.0,206.5691721,2.828427125,1.313264791,0.59407,1.119047619,-44.72222222,1.359989873,21.6485,0.091272799,0,1.214300266,0.5,14.93939539,0.593761445,50.77777778,0.19402,0.060805756,1.738867396,0.562907292,0.0,0.390461502,0.48,0.48,0.381944444,0.287,0.862470634,-0.271103826,17.23101491,0.335385906,0.0,0,-20.87076134,0.591438631,-375.6737042,39.78873847,13.80769661,1.47858,0.0,3.565886147,0.0,0.141664549,0.268643355,6.571675236,1.724918667,0.48,0.933963167,2,15.10968543,-0.524539408,3.56439,-0.630383712,0.0,0.0,1.031222921,-47.98562936,0.030872528,1.147885252,0.0,0.324478075,2.395833333,71.86219537,0.943918427,-13.23439539,0.0,0.0,1.166368574,0.367267032,-1.631103407,0.9141,0.943918427,0.345679012,0.315372309,0.24918,0.0,2.533412169,0.839272035,0.144531003,-25.62358477,2.002740799,-1.629247753,0.042534664,-0.601681187,11.89,0.0,42.56135867,7.365175027,0.954390245,-0.134616378,0.0
1.08375,0.7,0.133,1.395523082,0.8765625,-0.065603567,-0.00625,0.401001367,-0.085,1.82e-14,10.93207,-0.021122485,15.53453833,-0.0625,3.178848942,71.74282015,-76.22674641,0.5,1.0625,0.51535,-0.088888889,-1.968106996,2.486516783,10.3505,0.125107295,0,1.177395256,0.0,25.53626968,0.636732266,47.16666667,0.24371,-0.073307448,2.448940185,1.083876389,0.0,-0.085,0.42168787,0.074082655,0.159722222,0.664,0.942547208,-0.176294052,54.18975052,-0.295,0.2,0,-8.81838831,0.798620231,-264.5516493,29.89284173,44.10074932,1.98218,3.239651964,3.778338104,0.140321703,-0.085,-0.179265075,-4.724896331,0.105404444,0.607031115,1.009375,0,26.75732905,-0.295,4.12281,-0.307432704,0.8765625,0.475565844,1.08375,3.27e-13,-0.085,1.0625,0.014053926,-0.085,11.86490741,50.2753947,0.517420027,-1.868302608,1.409722222,1.139722222,1.009375,-0.039855364,-1.079944424,0.3069,0.396843083,-0.172839506,0.004780059,0.0,133.4088376,4.472996822,1.0625,0.024907282,-491.9450886,1.268340699,-1.079944424,0.00012,-0.295,11.89,0.8765625,-0.347418848,-11.94621662,0.527472527,1.44e-14,133.4088376
